node_id,energy_used,carbon_intensity,energy_threshold,carbon_threshold,claimed_energy,claimed_carbon,honest,efficient,proof_valid,attestation_valid,reward_without_vec,reward_with_vec
node-001,148,47,120,43,105,29,False,False,True,False,100.0,0.0
node-002,125,48,114,42,125,48,True,False,False,True,50.0,0.0
node-003,62,35,94,56,62,35,True,True,True,True,100.0,67.88563829787235
node-004,40,39,114,53,1,19,False,True,True,False,100.0,0.0
node-005,150,53,107,50,150,53,True,False,False,True,50.0,0.0
node-006,59,23,85,52,14,7,False,True,True,False,100.0,0.0
node-007,45,32,109,57,16,1,False,True,True,False,100.0,0.0
node-008,85,19,119,68,85,19,True,True,True,True,100.0,75.15756302521008
node-009,87,75,82,61,40,57,False,False,True,False,100.0,0.0
node-010,50,26,104,48,50,26,True,True,True,True,100.0,74.43910256410257
node-011,44,34,102,46,44,34,True,True,True,True,100.0,70.73742540494459
node-012,179,57,120,45,179,57,True,False,False,True,50.0,0.0
node-013,60,18,97,69,60,18,True,True,True,True,100.0,78.01434334379202
node-014,111,70,94,66,85,37,False,False,True,False,100.0,0.0
node-015,158,66,100,46,158,66,True,False,False,True,50.0,0.0
node-016,142,67,109,44,142,67,True,False,False,True,50.0,0.0
node-017,145,61,117,53,145,61,True,False,False,True,50.0,0.0
node-018,126,64,112,55,86,44,False,False,True,False,100.0,0.0
node-019,166,92,107,59,138,60,False,False,False,False,50.0,0.0
node-020,57,39,80,61,57,39,True,True,True,True,100.0,66.20389344262296
node-021,124,74,97,64,124,74,True,False,False,True,50.0,0.0
node-022,56,20,109,40,56,20,True,True,True,True,100.0,74.6559633027523
node-023,80,47,112,69,41,26,False,True,True,False,100.0,0.0
node-024,64,31,89,51,64,31,True,True,True,True,100.0,66.8263934787398
node-025,103,78,80,59,103,78,True,False,False,True,50.0,0.0
node-026,45,17,95,41,2,1,False,True,True,False,100.0,0.0
node-027,126,94,84,64,126,94,True,False,False,True,50.0,0.0
node-028,67,21,115,45,67,21,True,True,True,True,100.0,73.76811594202898
node-029,153,89,114,64,153,89,True,False,False,True,50.0,0.0
node-030,55,22,103,54,55,22,True,True,True,True,100.0,76.46530025170802
node-031,58,22,84,50,38,5,False,True,True,False,100.0,0.0
node-032,61,17,120,41,25,1,False,True,True,False,100.0,0.0
node-033,70,22,97,61,70,22,True,True,True,True,100.0,72.94236944397498
