node_id,energy_used,carbon_intensity,energy_threshold,carbon_threshold,claimed_energy,claimed_carbon,honest,efficient,proof_valid,attestation_valid,reward_without_vec,reward_with_vec
node-001,134,60,120,52,121,53,False,False,False,False,70.0,0.0
node-002,131,104,117,72,102,99,False,False,False,False,100.0,0.0
node-003,98,34,115,57,98,34,True,True,True,True,100.0,63.783371472158656
node-004,65,64,108,82,65,64,True,True,True,True,100.0,65.44150858175249
node-005,155,87,107,66,155,87,True,False,False,True,70.0,0.0
node-006,67,39,86,50,67,39,True,True,True,True,100.0,61.02325581395349
node-007,69,22,96,47,69,22,True,True,True,True,100.0,70.32912234042553
node-008,91,56,115,63,91,56,True,True,True,True,100.0,57.99516908212561
node-009,63,30,92,90,46,22,False,True,True,False,100.0,0.0
node-010,55,43,104,62,55,43,True,True,True,True,100.0,69.4401364764268
node-011,88,24,102,58,88,24,True,True,True,True,100.0,68.08654496281271
node-012,65,79,118,85,65,79,True,True,True,True,100.0,62.99351944167497
node-013,80,34,104,62,80,34,True,True,True,True,100.0,67.05955334987593
node-014,74,22,123,65,74,22,True,True,True,True,100.0,76.49781113195748
node-015,167,85,131,65,167,85,True,False,False,True,70.0,0.0
node-016,86,78,93,86,86,78,True,True,True,True,100.0,54.20730182545637
node-017,79,36,89,61,51,18,False,True,True,False,100.0,0.0
node-018,145,114,137,82,145,114,True,False,False,True,70.0,0.0
node-019,64,40,111,50,64,40,True,True,True,True,100.0,65.58558558558558
node-020,114,126,90,88,114,126,True,False,False,True,70.0,0.0
node-021,46,63,109,78,46,63,True,True,True,True,100.0,69.25723359209599
node-022,79,41,126,52,79,41,True,True,True,True,100.0,64.61385836385837
node-023,61,52,87,63,61,52,True,True,True,True,100.0,61.83634373289546
node-024,168,75,128,56,168,75,True,False,False,True,70.0,0.0
node-025,156,95,133,85,156,95,True,False,False,True,70.0,0.0
node-026,107,21,114,78,107,21,True,True,True,True,100.0,69.80431848852902
node-027,64,35,87,68,64,35,True,True,True,True,100.0,68.74154834347533
node-028,50,51,83,60,50,51,True,True,True,True,100.0,63.68975903614458
node-029,61,24,132,49,61,24,True,True,True,True,100.0,76.20207173778603
node-030,155,113,122,75,155,113,True,False,False,True,70.0,0.0
node-031,89,32,107,58,89,32,True,True,True,True,100.0,65.41250402835965
node-032,92,48,125,64,92,48,True,True,True,True,100.0,62.85000000000001
node-033,141,99,137,78,141,99,True,False,False,True,70.0,0.0
node-034,45,24,81,82,45,24,True,True,True,True,100.0,78.7940379403794
